date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
11/13/2022,36.10416667,24.07083333,436.8333333,33.8875,17.63333333,50.04166667,0.270416667,0,1.154166667,76.625,55.95833333
11/14/2022,57.2375,38.80416667,644.5,44.15,24.67916667,31.25,0.355416667,0,0.920833333,99.25,67.79166667
11/15/2022,52.68333333,34.87916667,533.4166667,40.4,23.1375,46,0.38375,0,1.079166667,105.6666667,70.20833333
11/16/2022,33.65,22.175,413.1666667,30.16666667,16.9,51.04166667,0.31375,0,1.21875,79.5,57.125
11/17/2022,31.55833333,20.39583333,374.0833333,28.7,17.19583333,48.58333333,0.29375,0,1.147916667,69.83333333,45.04166667
11/18/2022,35.69583333,23.01666667,410.0416667,30.97916667,18.55,53.375,0.354583333,0,1.19375,70.91666667,47.66666667
11/19/2022,29.24583333,19.34166667,386.0833333,26.27083333,13.32083333,47.375,0.350833333,0,1.170833333,70.16666667,46
11/20/2022,42.0125,28.2875,601.2083333,33.09166667,19.60833333,48.5,0.309583333,0,1.233333333,67.5,42.66666667
11/21/2022,81.19166667,53.84583333,830.8333333,52.05416667,30.22916667,58.79166667,0.52,0,0.827083333,128.625,77.45833333
11/22/2022,76.6125,51.16666667,815.8333333,46.31666667,22.53333333,41.20833333,0.366666667,0,0.902083333,143.875,82.45833333
11/23/2022,56.68333333,39.36666667,790.5,42.6375,27.28333333,22.08333333,0.430833333,0,0.472916667,114.375,72.95833333
11/24/2022,45.28333333,31.6625,695.875,34.06666667,17.6,17.625,0.307083333,0,0.339583333,103.125,69.375
11/25/2022,47.15833333,32.7625,691.0833333,33.60416667,15.475,32.54166667,0.313333333,0,0.929166667,88.58333333,64.08333333
11/26/2022,35.74166667,24.72916667,541.6666667,37.93333333,16.97083333,17.29166667,0.280416667,0,0.547916667,92,65.33333333
11/27/2022,22.125,14.77916667,336.2083333,25.39583333,14.8625,33.5,0.2375,0,0.94375,66.04166667,40.83333333
11/28/2022,30.1625,20.8,383.9583333,28.925,16.37083333,46.41666667,0.25,0,1.09375,59.45833333,35.20833333
11/29/2022,34.94166667,23.95,449.3333333,33.20416667,17.05,44.33333333,0.28375,0,0.895833333,72,49.375
11/30/2022,21.50416667,14.76666667,431.3333333,21.23333333,12.04583333,27.79166667,0.249583333,0,0.475,66.5,42.41666667
12/1/2022,19.775,13.83333333,418.8333333,15.19583333,8.970833333,20.70833333,0.235833333,0,0.21875,56.04166667,29.83333333
12/2/2022,26.1625,18.2625,473.375,18.02083333,11.6625,32.58333333,0.166666667,0,0.547916667,55.91666667,29.58333333
12/3/2022,44.87916667,31.27916667,822.1666667,32.70416667,20.69583333,26.54166667,0.248333333,0,0.666666667,68.70833333,43.54166667
12/4/2022,29.825,20.8,560.0833333,21.39583333,12.40416667,20.16666667,0.197916667,0,0.333333333,95.125,66.29166667
12/5/2022,32.42083333,22.67916667,672.125,22.17083333,13.4875,40,0.173333333,0,0.527083333,60.41666667,34.16666667
12/6/2022,52.275,36.575,922.2083333,40.85416667,25.8875,58.33333333,0.2775,0,1.3,83.29166667,61
12/7/2022,52.00416667,36.34166667,671.625,29.24166667,29.3125,34.91666667,0.459166667,0,0.383333333,113.875,72.79166667
12/8/2022,45.71666667,31.88333333,644.125,23.50833333,19.27916667,23.375,0.459583333,0,0.333333333,96.875,67.08333333
12/9/2022,37.52083333,26.24583333,675.9583333,23.6,14.43333333,19.91666667,0.411666667,0,0.289583333,86.75,63.41666667
12/10/2022,57.1,39.93333333,893.4166667,34.64166667,17.96666667,20.875,0.412916667,0,0.24375,87.75,63.70833333
12/11/2022,71.8375,50.2375,1098.958333,36.58333333,27.14166667,42.66666667,0.475416667,0,0.404166667,117.4166667,73.875
12/12/2022,80.17916667,56.025,983.625,31.9875,34.40416667,72.33333333,0.762916667,0.5,0.495833333,146.5833333,84.29166667
12/13/2022,58.0125,40.2625,559.7916667,20.1,16.3125,64.75,0.36625,1.5,1.795833333,146.7083333,84.375
12/14/2022,1.291666667,0.908333333,60,0,0.679166667,28,0.037916667,0,2.302083333,58,38.33333333
12/15/2022,1.504166667,1.045833333,63.375,0,0.241666667,34.95833333,0.037083333,0,2.239583333,16.5,13.75
12/16/2022,61.69166667,42.675,676.2916667,28.1625,26.58333333,67.16666667,0.423333333,0.333333333,1.70625,54.08333333,42.54166667
12/17/2022,40.25833333,28.025,517.25,8.65,25.9625,78.54166667,0.645416667,1,0.535416667,116.375,73.5
12/18/2022,54.3125,37.6625,721.7083333,26.2,19.55833333,70.45833333,0.350416667,1.75,1.125,80,59.41666667
12/19/2022,76.8125,53.55,792.2083333,38.45,32.89583333,50.20833333,0.280833333,0.75,1.139583333,132.0416667,78.66666667
12/20/2022,97.08333333,66.0625,1039,50.25833333,32.975,53.875,0.375,0.25,1.104166667,151.9166667,88.125
12/21/2022,87.55,61.0375,1036.666667,31.14583333,25.6375,65.95833333,0.617083333,0,0.927083333,152.2916667,87.79166667
12/22/2022,116.4291667,81.39166667,1427.583333,49.3625,32.34166667,53.95833333,0.679166667,0.375,0.897916667,159.6666667,99.125
12/23/2022,154.0125,106.9708333,1416.375,60.05833333,35.9875,65.75,0.741666667,0.25,0.8875,180.3333333,130.5
